fecha,hora,precio
2018-03-04,00,172.902661
2018-03-05,00,174.683033
2018-03-06,00,176.203282
2018-03-07,00,170.817771
2018-03-08,00,176.713562
2018-03-09,00,177.71103
2018-03-10,00,180.954262
2018-03-11,00,188.942981
2018-03-12,00,182.49125
2018-03-13,00,183.413159
2018-03-14,00,194.285131
2018-03-15,00,184.822818
2018-03-16,00,176.228715
2018-03-17,00,183.517369
2018-03-18,00,164.90649
2018-03-19,00,153.865868
2018-03-20,00,142.584114
2018-03-21,00,143.617335
2018-03-22,00,141.691943
2018-03-23,00,142.620354
2018-03-24,00,141.762995
2018-03-25,00,151.083985
2018-03-26,00,152.430818
2018-03-27,00,167.584895
2018-03-28,00,170.713532
2018-03-29,00,161.775345
2018-03-30,00,67.298395
2018-03-31,00,147.125277
2018-04-01,00,101.671739
2018-04-02,00,105.019191
2018-04-03,00,101.820568
2018-04-04,00,95.666351
2018-04-05,00,101.078914
2018-04-06,00,95.062535
2018-04-07,00,114.248899
2018-04-08,00,95.956565
2018-04-09,00,61.525422
2018-04-10,00,96.543641
2018-04-11,00,95.952302
2018-04-12,00,85.051029
2018-04-13,00,95.020743
2018-04-14,00,112.02167
2018-04-15,00,102.414684
2018-04-16,00,81.138977
2018-04-17,00,106.581805
2018-04-18,00,77.188147
2018-04-19,00,129.887295
2018-04-20,00,73.663385
2018-04-21,00,73.042307
2018-04-22,00,73.184275
2018-04-23,00,89.957896
2018-04-24,00,124.472572
2018-04-25,00,78.528505
2018-04-26,00,72.781191
2018-04-27,00,71.671081
2018-04-28,00,70.010403
2018-04-29,00,70.014413
2018-04-30,00,67.688436
2018-05-01,00,70.441937
2018-05-02,00,69.426076
2018-05-03,00,69.828143
2018-05-04,00,67.670642
2018-05-05,00,79.860115
2018-05-06,00,72.22666
2018-05-07,00,67.272993
2018-05-08,00,72.044305
2018-05-09,00,66.199151
2018-05-10,00,66.877676
2018-05-11,00,64.577045
2018-05-12,00,63.65959
2018-05-13,00,66.384191
2018-05-14,00,66.333604
2018-05-15,00,63.673124
2018-05-16,00,63.805557
2018-05-17,00,67.613089
2018-05-18,00,66.128527
2018-05-19,00,65.139128
2018-05-20,00,63.742478
2018-05-21,00,64.065213
2018-05-22,00,66.018747
2018-05-23,00,71.268375
2018-05-24,00,73.515421
2018-05-25,00,73.736025
2018-05-26,00,72.800044
2018-05-27,00,70.749955
2018-05-28,00,64.8287
2018-05-29,00,67.84088
2018-05-30,00,68.287736
2018-05-31,00,69.334459
2018-06-01,00,71.612619
2018-06-02,00,70.500099
2018-06-03,00,69.056419
2018-06-04,00,70.159951
2018-06-05,00,69.30192
2018-06-06,00,65.114394
2018-06-07,00,69.071164
2018-06-08,00,74.269954
2018-06-09,00,76.036529
2018-06-10,00,75.261438
2018-06-11,00,68.807014
2018-06-12,00,70.59549
2018-06-13,00,68.407562
2018-06-14,00,68.856912
2018-06-15,00,75.916961
2018-06-16,00,68.432582
2018-06-17,00,65.586704
2018-06-18,00,68.963373
2018-06-19,00,69.410442
2018-06-20,00,69.399696
2018-06-21,00,69.268699
2018-06-22,00,71.433765
2018-06-23,00,72.151955
2018-06-24,00,71.740563
2018-06-25,00,72.886327
2018-06-26,00,69.363873
2018-06-27,00,69.432079
2018-06-28,00,70.727203
2018-06-29,00,69.06679
2018-06-30,00,72.789706
2018-07-01,00,71.831231
2018-07-02,00,68.84906
2018-07-03,00,64.42346
2018-07-04,00,66.118183
2018-07-05,00,67.510317
2018-07-06,00,67.582173
2018-07-07,00,70.526661
2018-07-08,00,71.776795
2018-07-09,00,68.916773
2018-07-10,00,67.693473
2018-07-11,00,67.812943
2018-07-12,00,67.557408
2018-07-13,00,67.955004
2018-07-14,00,67.867546
2018-07-15,00,72.303026
2018-07-16,00,69.869476
2018-07-17,00,71.314098
2018-07-18,00,68.776294
2018-07-19,00,67.978674
2018-07-20,00,74.049366
2018-07-21,00,74.579686
2018-07-22,00,70.376289
2018-07-23,00,71.003883
2018-07-24,00,71.254202
2018-07-25,00,72.12742
2018-07-26,00,70.585241
2018-07-27,00,69.173318
2018-07-28,00,71.422425
2018-07-29,00,77.695233
2018-07-30,00,75.023234
2018-07-31,00,71.086391
2018-08-01,00,72.599996
2018-08-02,00,71.475699
2018-08-03,00,70.14347
2018-08-04,00,72.552053
2018-08-05,00,73.33289
2018-08-06,00,71.139116
2018-08-07,00,71.548202
2018-08-08,00,71.457261
2018-08-09,00,71.007156
2018-08-10,00,70.95568
2018-08-11,00,72.708097
2018-08-12,00,74.205136
2018-08-13,00,74.499783
2018-08-14,00,86.737935
2018-08-15,00,78.011567
2018-08-16,00,71.939136
2018-08-17,00,71.274807
2018-08-18,00,73.03256
2018-08-19,00,76.492454
2018-08-20,00,79.507799
2018-08-21,00,73.943939
2018-08-22,00,72.988734
2018-08-23,00,75.007426
2018-08-24,00,75.538062
2018-08-25,00,73.632471
2018-08-26,00,76.429503
2018-08-27,00,73.345228
2018-08-28,00,72.111778
2018-08-29,00,78.243568
2018-08-30,00,71.371942
2018-08-31,00,73.96712
2018-09-01,00,72.560949
2018-09-02,00,77.711733
2018-09-03,00,74.844319
2018-09-04,00,71.963769
2018-09-05,00,72.58002
2018-09-06,00,74.072057
2018-09-07,00,72.804101
2018-09-08,00,70.090727
2018-09-09,00,74.208178
2018-09-10,00,68.116519
2018-09-11,00,76.950861
2018-09-12,00,70.770615
2018-09-13,00,74.701973
2018-09-14,00,72.848909
2018-09-15,00,73.030553
2018-09-16,00,75.991622
2018-09-17,00,68.497609
2018-09-18,00,67.668918
2018-09-19,00,76.12943
2018-09-20,00,74.487294
2018-09-21,00,75.367767
2018-09-22,00,79.903838
2018-09-23,00,87.853084
2018-09-24,00,97.806457
2018-09-25,00,105.195082
2018-09-26,00,104.219995
2018-09-27,00,85.753101
2018-09-28,00,76.932976
2018-09-29,00,94.520523
2018-09-30,00,136.305014
2018-10-01,00,117.96252
2018-10-02,00,160.395468
2018-10-03,00,94.152853
2018-10-04,00,70.750223
2018-10-05,00,79.315876
2018-10-06,00,106.696478
2018-10-07,00,87.541316
2018-10-08,00,76.729033
2018-10-09,00,70.933029
2018-10-10,00,71.801406
2018-10-11,00,74.165771
2018-10-12,00,75.596122
2018-10-13,00,74.285012
2018-10-14,00,70.86692
2018-10-15,00,79.610922
2018-10-16,00,74.797035
2018-10-17,00,77.017668
2018-10-18,00,77.519941
2018-10-19,00,77.902754
2018-10-20,00,79.769502
2018-10-21,00,81.24803
2018-10-22,00,77.122515
2018-10-23,00,80.183034
2018-10-24,00,91.756567
2018-10-25,00,102.166979
2018-10-26,00,100.893044
2018-10-27,00,129.67932
2018-10-28,00,131.010076
2018-10-29,00,129.213737
2018-10-30,00,93.748716
2018-10-31,00,156.166572
2018-11-01,00,156.226492
2018-11-02,00,153.889162
2018-11-03,00,89.787686
2018-11-04,00,107.659688
2018-11-05,00,106.588974
2018-11-06,00,70.663297
2018-11-07,00,80.728829
2018-11-08,00,80.614165
2018-11-09,00,79.038976
2018-11-10,00,80.089519
2018-11-11,00,83.02024
2018-11-12,00,78.587944
2018-11-13,00,79.301462
2018-11-14,00,70.605013
2018-11-15,00,70.966046
2018-11-16,00,80.528364
2018-11-17,00,86.597717
2018-11-18,00,100.092148
2018-11-19,00,81.477456
2018-11-20,00,97.258753
2018-11-21,00,73.852135
2018-11-22,00,97.739564
2018-11-23,00,95.02957
2018-11-24,00,91.411997
2018-11-25,00,97.535834
2018-11-26,00,92.389412
2018-11-27,00,72.267446
2018-11-28,00,91.130488
2018-11-29,00,80.441457
2018-11-30,00,79.536216
2018-12-01,00,80.100205
2018-12-02,00,84.78801
2018-12-03,00,82.303355
2018-12-04,00,98.473633
2018-12-05,00,70.266984
2018-12-06,00,92.377377
2018-12-07,00,96.843528
2018-12-08,00,96.385412
2018-12-09,00,136.558733
2018-12-10,00,119.963351
2018-12-11,00,155.576617
2018-12-12,00,164.667473
2018-12-13,00,189.028055
2018-12-14,00,190.018645
2018-12-15,00,191.015595
2018-12-16,00,202.216118
2018-12-17,00,190.488225
2018-12-18,00,192.087083
2018-12-19,00,200.502906
2018-12-20,00,209.507378
2018-12-21,00,200.582781
2018-12-22,00,236.84255
2018-12-23,00,237.931546
2018-12-24,00,236.093918
2018-12-25,00,113.145403
2018-12-26,00,236.742045
2018-12-27,00,236.40798
2018-12-28,00,289.347836
2018-12-29,00,293.832287
2018-12-30,00,333.925856
2018-12-31,00,333.921138
2019-01-01,00,318.423099
2019-01-02,00,335.522884
2019-01-03,00,329.347962
